ts,row_index,level,stage,idsbr,nama,match_value,note,screenshot
20251230_102158,1,OK,OPEN_TAB,97516601,"KONTRAKTOR AZRIN ZABUR, CV",0,Tab form baru terdeteksi (event page).,
20251230_102220,1,OK,FILL,97516601,"KONTRAKTOR AZRIN ZABUR, CV",0,"Form terisi (update=9, skip=8)",
20251230_102227,1,ERROR,SUBMIT,97516601,"KONTRAKTOR AZRIN ZABUR, CV",0,"ERROR_FILL | CODE:SUBMIT_ERROR_FILL Form menolak submit karena ada isian yang perlu diperbaiki. | Pesan: Masih terdapat isian yang harus diperbaiki! | Petunjuk: Pemberitahuan, Masih terdapat isian yang harus diperbaiki!, *, Salah satu opsi harus terpilih, Belum ada idsbr master yang terkonfimasi!",C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\optimized-otomtatisasi-sbr\artifacts\screenshots\2025-12-30\20251230_102222_submit_issue_1_ERROR_FILL.png
20251230_102235,2,OK,OPEN_TAB,97516602,KOPERASI SERBA USAHA,1,Tab form baru terdeteksi (fallback buka href).,
20251230_102248,2,ERROR,FILL,97516602,KOPERASI SERBA USAHA,1,"Exception isi form: TargetClosedError: Page.wait_for_timeout: Target page, context or browser has been closed (screenshot-error: Page.screenshot: Target page, context or browser has been closed)",
20251230_102304,3,ERROR,OPEN_TAB,97516604,"AYUMI CIPTA SARANA, CV",2,"Tidak ada tab form: TimeoutError: Timeout 6000ms exceeded while waiting for event ""page"" | URL tidak berubah",C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\optimized-otomtatisasi-sbr\artifacts\screenshots\2025-12-30\20251230_102303_no_new_tab_3.png
20251230_102309,4,OK,OPEN_TAB,97516605,KOPERASI BERKAH SEJATI,3,Tab form baru terdeteksi (event page).,
20251230_102347,4,OK,FILL,97516605,KOPERASI BERKAH SEJATI,3,"Form terisi (update=8, skip=9)",
20251230_102401,4,ERROR,SUBMIT,97516605,KOPERASI BERKAH SEJATI,3,"ERROR_FILL | CODE:SUBMIT_ERROR_FILL Form menolak submit karena ada isian yang perlu diperbaiki. | Pesan: Masih terdapat isian yang harus diperbaiki! | Petunjuk: Pemberitahuan, Masih terdapat isian yang harus diperbaiki!, *, Salah satu opsi harus terpilih, Belum ada idsbr master yang terkonfimasi!",C:\Users\US3R\OneDrive\Dokumen\Kerja\2025\SBR\optimized-otomtatisasi-sbr\artifacts\screenshots\2025-12-30\20251230_102357_submit_issue_4_ERROR_FILL.png
20251230_102407,5,OK,OPEN_TAB,97516614,SETIA KAWAN UD,4,Tab form baru terdeteksi (event page).,
